City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
42,Hauterive,FR,2020-01-14 04:35:36,46.09,3.45,46.0,70,72,18.34
43,Cape Town,ZA,2020-01-14 04:31:02,-33.93,18.42,70.0,94,20,5.82
44,Kapaa,US,2020-01-14 04:33:14,22.08,-159.32,78.8,83,40,23.04
45,Haapiti,PF,2020-01-14 04:40:20,-17.57,-149.87,80.6,78,75,1.12
46,Hobyo,SO,2020-01-14 04:40:20,5.35,48.53,81.61,63,36,22.06
47,Bredasdorp,ZA,2020-01-14 04:40:21,-34.53,20.04,71.01,88,100,9.64
48,Aykhal,RU,2020-01-14 04:40:22,66.0,111.5,-11.2,83,91,4.47
49,Souillac,MU,2020-01-14 04:40:22,-20.52,57.52,82.99,83,40,10.29
50,Yumen,CN,2020-01-14 04:40:23,40.28,97.2,23.9,41,82,18.7
51,Belaya Gora,RU,2020-01-14 04:40:24,68.53,146.42,-16.91,97,100,1.72
52,New Norfolk,AU,2020-01-14 04:31:12,-42.78,147.06,79.0,44,20,11.41
53,Muros,ES,2020-01-14 04:40:25,42.78,-9.06,57.99,93,75,20.8
54,Alofi,NU,2020-01-14 04:32:55,-19.06,-169.92,80.6,88,49,4.7
55,Khatanga,RU,2020-01-14 04:33:21,71.97,102.5,-20.31,88,26,8.16
56,Arlit,NE,2020-01-14 04:40:28,18.74,7.39,56.3,34,19,17.16
57,Kaitangata,NZ,2020-01-14 04:37:01,-46.28,169.85,59.0,78,25,11.99
58,Albany,US,2020-01-14 04:30:02,42.6,-73.97,37.4,86,90,3.36
59,Magog,CA,2020-01-14 04:38:06,45.27,-72.15,26.01,100,90,2.98
60,Jamestown,US,2020-01-14 04:28:03,42.1,-79.24,37.4,74,90,5.82
61,Castro,BR,2020-01-14 04:31:21,-24.79,-50.01,57.96,85,96,4.34
62,Kavieng,PG,2020-01-14 04:40:32,-2.57,150.8,83.62,78,100,26.08
63,Yellowknife,CA,2020-01-14 04:37:17,62.46,-114.35,-38.2,65,5,3.36
64,Eregli,TR,2020-01-14 04:40:33,37.51,34.05,32.7,69,0,1.05
65,Longyearbyen,SJ,2020-01-14 04:40:34,78.22,15.64,3.2,54,20,10.29
66,Bandarbeyla,SO,2020-01-14 04:33:06,9.49,50.81,76.1,69,22,21.18
67,Ofaqim,IL,2020-01-14 04:40:35,31.31,34.62,53.01,23,11,5.66
68,Talnakh,RU,2020-01-14 04:40:35,69.49,88.4,8.6,84,75,29.08
