City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description,"Rain (inches, last 3 hrs)","Snow (inches, last 3 hrs)"
390,Daura,NG,2020-01-17 23:51:37,11.55,11.41,66.29,29,0,11.23,clear sky,0.0,0.0
391,Fuxin,CN,2020-01-17 23:51:38,42.02,121.66,10.02,75,0,1.5,clear sky,0.0,0.0
392,Pijijiapan,MX,2020-01-17 23:51:38,15.7,-93.23,79.2,60,0,1.7,clear sky,0.0,0.0
393,Krynychky,UA,2020-01-17 23:51:39,48.38,34.47,30.2,86,29,8.95,scattered clouds,0.0,0.0
394,Cancun,MX,2020-01-17 23:50:08,21.17,-86.85,78.8,74,75,11.41,broken clouds,0.0,0.0
395,Fort Nelson,CA,2020-01-17 23:51:41,58.81,-122.7,-18.4,75,75,1.86,light snow,0.0,0.0
396,Jalu,LY,2020-01-17 23:51:42,29.03,21.55,57.69,61,94,11.32,overcast clouds,0.0,0.0
397,Ailigandi,PA,2020-01-17 23:51:42,9.23,-78.02,75.94,92,61,7.9,light rain,0.13,0.0
398,Springbok,ZA,2020-01-17 23:51:43,-29.66,17.89,61.09,73,24,4.61,few clouds,0.0,0.0
399,Sioux Lookout,CA,2020-01-17 23:51:44,50.1,-91.92,14.0,78,90,8.05,overcast clouds,0.0,0.0
400,San Andres,CO,2020-01-17 23:51:11,12.58,-81.7,82.4,74,75,21.92,broken clouds,0.0,0.0
401,Martapura,ID,2020-01-17 23:51:45,-3.42,114.85,79.39,83,83,0.65,broken clouds,0.0,0.0
402,Gasa,PS,2020-01-17 23:48:39,31.5,34.47,57.2,82,40,5.82,scattered clouds,0.0,0.0
403,Pangoa,PE,2020-01-17 23:51:46,-12.12,-73.0,72.63,95,94,1.48,light rain,1.38,0.0
404,Apac,UG,2020-01-17 23:51:47,1.98,32.54,78.04,39,100,2.84,overcast clouds,0.0,0.0
